Brand,Category,Average_Price_USD
Gucci,Bags,1850
Gucci,Shoes,650
Gucci,Accessories,420
Coach,Bags,380
Coach,Shoes,180
Coach,Accessories,95
Hermes,Bags,8500
Hermes,Shoes,980
Hermes,Accessories,1200
