Most valuable global luxury brands 2025,
Brand value of the leading 10 most valuable luxury brands worldwide in 2025 (in million U.S. dollars),
,
Louis Vuitton France,"111,938"
Hermès France,"109,421"
Chanel France,"62,292"
Gucci Italy,"15,329"
Cartier France,"12,369"
Dior France,"11,469"
Rolex Switzerland,"9,720"
Tiffany & Co. United States,"5,916"
Prada Italy,"5,654"
Fendi Italy,"5,611"
