"brand","year","region","category","revenue","unit","millions_of_euros"
"Gucci",2021,"Rest of the world",NA,583.85,"millions of euros",583.85
"Gucci",2021,"Japan",NA,583.85,"millions of euros",583.85
"Gucci",2021,"North America",NA,2627.34,"millions of euros",2627.34
"Gucci",2021,"Asia-Pacific (excluding Japan)",NA,4281.6,"millions of euros",4281.6
"Gucci",2021,"Western Europe",NA,1654.25,"millions of euros",1654.25
"Hermes",2024,NA,"Leather Goods and Saddlery",6457,"millions of euros",6457
"Hermes",2024,NA,"Ready-to-wear and Accessories",4405,"millions of euros",4405
"Hermes",2024,NA,"Silk and Textiles",950,"millions of euros",950
"Hermes",2024,NA,"Other Hermès sectors",1909,"millions of euros",1909
"Hermes",2024,NA,"Perfume and Beauty",535,"millions of euros",535
"Hermes",2024,NA,"Watches",577,"millions of euros",577
"Hermes",2024,NA,"Other products",337,"millions of euros",337
"Hermes",2024,NA,"Total",15170,"millions of euros",15170
"Hermes",2023,NA,"Leather Goods and Saddlery",5547,"millions of euros",5547
"Hermes",2023,NA,"Ready-to-wear and Accessories",3879,"millions of euros",3879
"Hermes",2023,NA,"Silk and Textiles",932,"millions of euros",932
"Hermes",2023,NA,"Other Hermès sectors",1653,"millions of euros",1653
"Hermes",2023,NA,"Perfume and Beauty",492,"millions of euros",492
"Hermes",2023,NA,"Watches",611,"millions of euros",611
"Hermes",2023,NA,"Other products",313,"millions of euros",313
"Hermes",2023,NA,"Total",13427,"millions of euros",13427
"Hermes",2022,NA,"Leather Goods and Saddlery",4963,"millions of euros",4963
"Hermes",2022,NA,"Ready-to-wear and Accessories",3152,"millions of euros",3152
"Hermes",2022,NA,"Silk and Textiles",842,"millions of euros",842
"Hermes",2022,NA,"Other Hermès sectors",1371,"millions of euros",1371
"Hermes",2022,NA,"Perfume and Beauty",448,"millions of euros",448
"Hermes",2022,NA,"Watches",519,"millions of euros",519
"Hermes",2022,NA,"Other products",306,"millions of euros",306
"Hermes",2022,NA,"Total",11602,"millions of euros",11602
"Hermes",2021,NA,"Leather Goods and Saddlery",4091,"millions of euros",4091
"Hermes",2021,NA,"Ready-to-wear and Accessories",2219,"millions of euros",2219
"Hermes",2021,NA,"Silk and Textiles",669,"millions of euros",669
"Hermes",2021,NA,"Other Hermès sectors",1001,"millions of euros",1001
"Hermes",2021,NA,"Perfume and Beauty",385,"millions of euros",385
"Hermes",2021,NA,"Watches",337,"millions of euros",337
"Hermes",2021,NA,"Other products",279,"millions of euros",279
"Hermes",2021,NA,"Total",8982,"millions of euros",8982
"Hermes",2024,"France",NA,1447,"millions of euros",1447
"Hermes",2024,"Europe (excl. France)",NA,2147,"millions of euros",2147
"Hermes",2024,"Total Europe",NA,3594,"millions of euros",3594
"Hermes",2024,"Japan",NA,1437,"millions of euros",1437
"Hermes",2024,"Asia-Pacific (excl. Japan)",NA,6648,"millions of euros",6648
"Hermes",2024,"Total Asia",NA,8085,"millions of euros",8085
"Hermes",2024,"Americas",NA,2865,"millions of euros",2865
"Hermes",2024,"Other",NA,627,"millions of euros",627
"Hermes",2024,"Total",NA,15170,"millions of euros",15170
"Hermes",2023,"France",NA,1274,"millions of euros",1274
"Hermes",2023,"Europe (excl. France)",NA,1818,"millions of euros",1818
"Hermes",2023,"Total Europe",NA,3093,"millions of euros",3093
"Hermes",2023,"Japan",NA,1260,"millions of euros",1260
"Hermes",2023,"Asia-Pacific (excl. Japan)",NA,6273,"millions of euros",6273
"Hermes",2023,"Total Asia",NA,7533,"millions of euros",7533
"Hermes",2023,"Americas",NA,2502,"millions of euros",2502
"Hermes",2023,"Other",NA,299,"millions of euros",299
"Hermes",2023,"Total",NA,13427,"millions of euros",13427
"Hermes",2022,"France",NA,1064,"millions of euros",1064
"Hermes",2022,"Europe (excl. France)",NA,1536,"millions of euros",1536
"Hermes",2022,"Total Europe",NA,2600,"millions of euros",2600
"Hermes",2022,"Japan",NA,1101,"millions of euros",1101
"Hermes",2022,"Asia-Pacific (excl. Japan)",NA,5556,"millions of euros",5556
"Hermes",2022,"Total Asia",NA,6657,"millions of euros",6657
"Hermes",2022,"Americas",NA,2138,"millions of euros",2138
"Hermes",2022,"Other",NA,207,"millions of euros",207
"Hermes",2022,"Total",NA,11602,"millions of euros",11602
"Hermes",2021,"France",NA,838,"millions of euros",838
"Hermes",2021,"Europe (excl. France)",NA,1303,"millions of euros",1303
"Hermes",2021,"Total Europe",NA,2141,"millions of euros",2141
"Hermes",2021,"Japan",NA,977,"millions of euros",977
"Hermes",2021,"Asia-Pacific (excl. Japan)",NA,4251,"millions of euros",4251
"Hermes",2021,"Total Asia",NA,5227,"millions of euros",5227
"Hermes",2021,"Americas",NA,1458,"millions of euros",1458
"Hermes",2021,"Other",NA,156,"millions of euros",156
"Hermes",2021,"Total",NA,8982,"millions of euros",8982
