brand,category,count,mean
Coach,Accessories,1627,104.74
Coach,Apparel,210,245.97
Coach,Shoes,427,116.26
Gucci,Accessories,17914,313.82
Gucci,Apparel,6668,688.45
Gucci,Shoes,17533,498.12
Hermès,Accessories,12431,621.87
Hermès,Apparel,2247,1181.56
Hermès,Shoes,5084,567.15
