Region,Market,Chart,Name,Unit,Source,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Worldwide,Luxury Apparel,Revenue Comparison,Bosnia and Herzegovina,million USD (US$),Statista Market Insights,12,13,11,12,14,14,15,15,16,16,17,17,17
Worldwide,Luxury Apparel,Revenue Comparison,Botswana,million USD (US$),Statista Market Insights,5,5,4,4,5,6,6,6,7,7,8,8,8
Worldwide,Luxury Apparel,Revenue Comparison,Brazil,million USD (US$),Statista Market Insights,"1,021",970,632,627,771,818,859,828,859,888,913,937,957
Worldwide,Luxury Apparel,Revenue Comparison,Brunei Darussalam,million USD (US$),Statista Market Insights,4,5,4,4,6,6,6,6,7,7,7,8,8
Worldwide,Luxury Apparel,Revenue Comparison,Bulgaria,million USD (US$),Statista Market Insights,146,148,143,164,134,141,146,144,145,145,146,146,146
Worldwide,Luxury Apparel,Revenue Comparison,Burkina Faso,million USD (US$),Statista Market Insights,5,5,5,6,6,7,7,7,7,7,7,7,7
Worldwide,Luxury Apparel,Revenue Comparison,Burundi,million USD (US$),Statista Market Insights,17,18,15,16,18,18,19,19,20,20,21,21,22
Worldwide,Luxury Apparel,Revenue Comparison,Cambodia,million USD (US$),Statista Market Insights,75,86,87,90,102,111,114,110,112,114,115,116,117
Worldwide,Luxury Apparel,Revenue Comparison,Cameroon,million USD (US$),Statista Market Insights,33,35,37,42,46,50,53,55,58,60,63,65,66
Worldwide,Luxury Apparel,Revenue Comparison,Canada,million USD (US$),Statista Market Insights,"3,125","3,287","2,925","3,235","3,511","4,069","4,155","4,185","4,392","4,597","4,800","5,001","5,199"
Worldwide,Luxury Apparel,Revenue Comparison,Chad,million USD (US$),Statista Market Insights,19,21,15,17,26,29,31,32,35,37,39,41,43
Worldwide,Luxury Apparel,Revenue Comparison,Chile,million USD (US$),Statista Market Insights,254,252,151,162,260,268,280,289,308,325,341,355,367
Worldwide,Luxury Apparel,Revenue Comparison,China,million USD (US$),Statista Market Insights,"8,064","8,942","8,841","8,404","10,233","10,806","10,878","10,545","10,700","10,823","10,922","11,001","11,064"
Worldwide,Luxury Apparel,Revenue Comparison,Colombia,million USD (US$),Statista Market Insights,259,252,174,183,231,247,260,259,272,284,295,304,313
Worldwide,Luxury Apparel,Revenue Comparison,Costa Rica,million USD (US$),Statista Market Insights,39,41,34,40,41,46,49,49,51,53,55,57,58
Worldwide,Luxury Apparel,Revenue Comparison,Croatia,million USD (US$),Statista Market Insights,59,60,58,67,55,59,61,61,61,62,62,62,63
