Year,Gucci_Revenue_Million_USD,Coach_Revenue_Million_USD,Hermes_Revenue_Million_USD
2012,3790,910,4128
2013,4230,970,4435
2014,4550,940,4832
2015,4950,940,5108
2016,5439,940,6135
2017,6883,1010,6701
2018,8594,1040,7035
2019,10192,1060,7709
2020,17630,1080,7295
2021,15599,1100,10626
2022,18110,1120,12219
2023,17839,1140,14535
2024,14864,1170,16414
